delta3,delta4,n_rows,ordinal_mae,balanced_accuracy,phase4_support,phase4_recall,phase3plus_precision,phase3plus_recall,distribution_discrepancy,actual_phase1_count,actual_phase2_count,actual_phase3_count,actual_phase4_count,actual_phase5_count,predicted_phase1_count,predicted_phase2_count,predicted_phase3_count,predicted_phase4_count,predicted_phase5_count,ordinal_mae_change,balanced_accuracy_change,phase4_recall_change,phase3plus_precision_change,phase3plus_recall_change,distribution_discrepancy_change,offset_l1,mae_improved,phase4_recall_improved,balanced_accuracy_not_lower,phase3plus_precision_within_tolerance,phase3plus_recall_within_tolerance,accepted,selection_rank,selected
0,0.080000000000000002,959,0.40354535974973932,0.3931189903846154,48,0.29166666666666669,0.76280834914611007,0.71785714285714286,0.14389989572471329,9,390,512,48,0,0,432,452,75,0,0.049009384775808129,0.046061197916666685,0.29166666666666669,0,0,0.025026068821689312,0.080000000000000002,False,True,True,True,True,False,<NA>,False
-0.01,0.070000000000000007,959,0.40354535974973932,0.37527794471153847,48,0.20833333333333334,0.76907216494845365,0.66607142857142854,0.18143899895724713,9,390,512,48,0,0,474,434,51,0,0.049009384775808129,0.028220152243589758,0.20833333333333334,0.0062638158023435864,-0.051785714285714324,0.062565172054223156,0.080000000000000002,False,True,True,True,False,False,<NA>,False
-0.02,0.059999999999999998,959,0.40354535974973932,0.37138421474358974,48,0.1875,0.7857142857142857,0.62857142857142856,0.25234619395203339,9,390,512,48,0,0,511,404,44,0,0.049009384775808129,0.024326422275641024,0.1875,0.022905936568175633,-0.089285714285714302,0.13347236704900942,0.080000000000000002,False,True,True,True,False,False,<NA>,False
-0.040000000000000001,0.029999999999999999,959,0.4045881126173097,0.33536658653846152,48,0.020833333333333332,0.80678851174934729,0.55178571428571432,0.38790406673618355,9,390,512,48,0,0,576,375,8,0,0.050052137643378514,-0.011691205929487192,0.020833333333333332,0.043980162603237227,-0.16607142857142854,0.26903023983315955,0.070000000000000007,False,True,False,True,False,False,<NA>,False
-0.050000000000000003,0.02,959,0.4045881126173097,0.33345602964743593,48,0,0.8258426966292135,0.52500000000000002,0.44421272158498437,9,390,512,48,0,0,603,353,3,0,0.050052137643378514,-0.013601762820512786,0,0.063034347483103437,-0.19285714285714284,0.32533889468196042,0.070000000000000007,False,False,False,True,False,False,<NA>,False
-0.059999999999999998,0.02,959,0.40563086548488009,0.3345252403846154,48,0,0.83870967741935487,0.51071428571428568,0.47549530761209591,9,390,512,48,0,0,618,338,3,0,0.051094890510948898,-0.012532552083333315,0,0.075901328273244806,-0.20714285714285718,0.35662148070907196,0.080000000000000002,False,False,False,True,False,False,<NA>,False
-0.029999999999999999,0.050000000000000003,959,0.40771637122002086,0.35646284054487176,48,0.125,0.79710144927536231,0.5892857142857143,0.32325338894681954,9,390,512,48,0,0,545,382,32,0,0.053180396246089667,0.0094050480769230504,0.125,0.034293100129252241,-0.12857142857142856,0.20437956204379557,0.080000000000000002,False,True,True,True,False,False,<NA>,False
-0.050000000000000003,0.029999999999999999,959,0.40771637122002086,0.33671123798076924,48,0.020833333333333332,0.8258426966292135,0.52500000000000002,0.44421272158498437,9,390,512,48,0,0,603,348,8,0,0.053180396246089667,-0.010346554487179471,0.020833333333333332,0.063034347483103437,-0.19285714285714284,0.32533889468196042,0.080000000000000002,False,True,False,True,False,False,<NA>,False
-0.02,0.070000000000000007,959,0.40875912408759124,0.37463942307692305,48,0.20833333333333334,0.7857142857142857,0.62857142857142856,0.2586027111574557,9,390,512,48,0,0,511,397,51,0,0.054223149113660052,0.027581630608974339,0.20833333333333334,0.022905936568175633,-0.089285714285714302,0.13972888425443172,0.090000000000000011,False,True,True,True,False,False,<NA>,False
-0.059999999999999998,0.029999999999999999,959,0.40875912408759124,0.33778044871794871,48,0.020833333333333332,0.83870967741935487,0.51071428571428568,0.47549530761209591,9,390,512,48,0,0,618,333,8,0,0.054223149113660052,-0.00927734375,0.020833333333333332,0.075901328273244806,-0.20714285714285718,0.35662148070907196,0.089999999999999997,False,True,False,True,False,False,<NA>,False
-0.070000000000000007,0,959,0.41084462982273201,0.33428235176282051,48,0,0.8517350157728707,0.48214285714285715,0.52554744525547448,9,390,512,48,0,0,642,317,0,0,0.056308654848800821,-0.012775440705128205,0,0.088926666626760631,-0.23571428571428571,0.40667361835245053,0.070000000000000007,False,False,False,True,False,False,<NA>,False
-0.070000000000000007,0.01,959,0.41084462982273201,0.33428235176282051,48,0,0.8517350157728707,0.48214285714285715,0.52554744525547448,9,390,512,48,0,0,642,317,0,0,0.056308654848800821,-0.012775440705128205,0,0.088926666626760631,-0.23571428571428571,0.40667361835245053,0.080000000000000002,False,False,False,True,False,False,<NA>,False
-0.040000000000000001,0.040000000000000001,959,0.41293013555787278,0.33764523237179489,48,0.041666666666666664,0.80678851174934729,0.55178571428571432,0.38790406673618361,9,390,512,48,0,0,576,365,18,0,0.05839416058394159,-0.0094125600961538214,0.041666666666666664,0.043980162603237227,-0.16607142857142854,0.26903023983315966,0.080000000000000002,False,True,False,True,False,False,<NA>,False
-0.029999999999999999,0.059999999999999998,959,0.41397288842544316,0.36769330929487176,48,0.1875,0.79710144927536231,0.5892857142857143,0.3232533889468196,9,390,512,48,0,0,545,370,44,0,0.059436913451511975,0.02063551682692305,0.1875,0.034293100129252241,-0.12857142857142856,0.20437956204379562,0.089999999999999997,False,True,True,True,False,False,<NA>,False
